PCA 1,PCA 2,PCA 3,PCA 4,PCA 5,PCA 6,PCA 7,PCA 8,PCA 9,PCA 10,PCA 11,PCA 12,PCA 13,PCA 14,PCA 15,PCA 16,PCA 17,PCA 18,PCA 19,PCA 20,PCA 21,PCA 22,PCA 23,PCA 24,PCA 25,PCA 26,PCA 27,PCA 28,PCA 29,PCA 30,PCA 31,PCA 32,PCA 33,PCA 34,PCA 35,PCA 36,PCA 37,PCA 38,PCA 39,PCA 40
-77334881.51852368,640302000.918361,151066164.13503242,-85758370.98241228,-124794148.57821235,-156051094.6200694,274807613.1148255,466023633.61630774,76393632.60408163,164102888.57672328,-118605194.25137372,-2435401.0932795303,-2429763.3038044837,-119108604.8939474,146260515.74615765,-32957323.811461046,41587884.03461719,-95761590.9019241,179303887.830368,150060823.20038584,-168855965.3980288,1900301192.2693818,173877278.6461177,-549735211.3932362,687313.3129637386,-125689500.48280172,101259417.61541699,74534152.25903066,94445288.38414331,193935.9061175137,-150520721.3356206,-313716935.57572085,-83572274.22862999,142917884.41299474,265161397.21077275,592700754.7170501,37982035.30615982,60218433.59112828,95570613.23577255,-95409978.84576696
-82485187.43973565,682948967.6787565,161130571.33794948,-91470551.84247637,-133106235.38072798,-166443644.2422532,293110256.2122011,497063433.090844,81481460.1398923,175032767.4289794,-126503976.26088147,-2597602.1105745235,-2591588.6516247373,-127041781.19765216,156002155.24352503,-35152339.07025166,44358344.838409305,-102138355.9689354,191246505.712841,160052658.87552336,-180102321.1305955,2026869736.9732533,185458628.43944615,-586350764.8272226,732834.0805220164,-134060634.57074563,108002368.93081476,79498261.07982653,100736496.14684184,205892.685809414,-160545970.67724916,-334611547.55063146,-89137773.68632343,152438749.06288403,282821907.8681078,632177393.791257,40510492.32694158,64229276.13593802,101936595.55025922,-101764652.13354366
-81997291.74349408,678908735.537528,160176865.5373563,-90929375.48054121,-132318761.01906277,-165459152.43841508,291376360.74075216,494122777.9808791,80999493.59052461,173997246.1824238,-125755789.44469745,-2582213.9153280444,-2576236.059866578,-126290218.21358581,155079256.47180426,-34944406.59107682,44095839.589456774,-101534346.38653322,190115079.62059277,159106318.6369223,-179036910.56206933,2014878996.2836366,184361420.98528928,-582881858.7000262,728504.7321095528,-133267585.98134975,107363675.32378574,79027997.31842123,100140427.75943898,204857.50899159058,-159596228.03338408,-332632105.75013196,-88610613.25568305,151536660.5821212,281148837.84523594,628437488.3628532,40271071.814535886,63849288.89258579,101333451.78352086,-101162644.6601321
-88247293.11574312,730661363.4989897,172390062.96314818,-97861214.9524681,-142405510.48153546,-178070683.99689546,313586893.4432485,531789989.3578896,87173666.18394087,187260801.21693283,-135341226.5029484,-2779078.1439962625,-2772644.413570566,-135917315.60147548,166900829.5071866,-37608079.892759144,47457849.96867009,-109272628.43739717,204607593.4055205,171231563.37231043,-192684463.08692244,2168471436.2206693,198415522.1581743,-627315269.1897695,783739.8377756912,-143426139.39884403,115546365.46185178,85052055.7480218,107774870.44447348,219392.39147830955,-171762020.56716725,-357987980.5013822,-95364471.18291065,163090281.59444267,302580052.39440227,676342915.0904727,43339409.80768036,68716530.66193901,109058651.54585144,-108874100.95218706
-90285202.86402193,747535955.770876,176372142.299443,-100121405.89244449,-145694412.1079879,-182182862.60406774,320828938.58597857,544071820.7957331,89186863.7254731,191585503.78508726,-138466765.77096057,-2843254.9681280325,-2836672.6031009573,-139056339.26150844,170755404.88096073,-38476611.88710758,48554044.44407977,-111795860.65563181,209333040.75889772,175185343.60674816,-197134458.89119604,2218552120.676373,202998012.76750594,-641803281.8176003,801737.7683324144,-146738462.51040712,118214513.8844917,87016280.95884605,110264131.15362152,224204.4823986966,-175728843.84228796,-366255615.79945564,-97566731.9932855,166857397.3785285,309567997.21076113,691963061.8166139,44339968.10768471,70303543.04918104,111577514.72697563,-111388533.66254248
-95850819.68674608,793621619.5073981,187247974.5676025,-106294182.32558328,-154676708.03143233,-193413347.71836814,340607423.21844643,577614407.6847861,94684942.60339282,203396660.6221662,-147002525.5481858,-3018560.3592199837,-3011572.0300471126,-147629244.44528797,181282605.05049196,-40848612.604224086,51547886.00244074,-118686822.49766368,222238556.1007792,185982917.86680618,-209287619.78407177,2355326047.8049045,215513168.37630874,-681371186.3606656,850922.2683761903,-155784552.0674833,125501103.3293916,92380658.25755607,117062596.38642079,237146.62949754047,-186562476.53321487,-388834999.5965834,-103581049.62624736,177145890.30053672,328652536.4310471,734622769.6989907,47072342.24156162,74637776.01444969,118456818.81386769,-118255607.60706395
-96521461.65251267,799174714.6535332,188558259.4089607,-107037943.69567995,-155758985.89390114,-194766622.14893347,342990616.06762314,581656090.5556056,95347473.59346831,204819800.07514536,-148031153.13598114,-3039665.3825967647,-3032628.1488345303,-148662233.23093897,182551060.42653304,-41134438.39494145,51908581.80103829,-119517215.84291343,223793590.20738158,187284174.71466583,-210752040.34538803,2371806564.271733,217021157.13531992,-686138874.2331716,856822.5057548118,-156874593.50810558,126379264.9799031,93027052.4544649,117881737.14676271,238785.33316836727,-187867886.37731987,-391555756.5681124,-104305821.93782544,178385510.28146315,330952147.3755052,739763020.2811677,47401665.8383863,75160026.27305329,119285695.83485828,-119083062.68325454
-100040675.93240424,828315320.9318465,195435129.3068131,-110941071.48588262,-161438583.10887533,-201867848.20880857,355496802.39213985,602865553.4093417,98824011.31206575,212288139.91415405,-153428492.3754752,-3150505.095459041,-3143211.1758974628,-154082969.83301297,189207500.9337181,-42634276.38160035,53801657.58093911,-123874455.87884478,231953949.16736647,194111670.56189033,-218436682.32093725,2458290590.024603,224934665.87882105,-711158187.3552673,887915.6393356405,-162594610.0649468,130986781.1524114,96419038.98377123,122180476.2862626,247007.0789141603,-194718141.62692514,-405833035.20783573,-108108795.47081345,184891042.25571352,343019543.76017547,766737377.9652963,49129402.644625746,77900636.32753251,123635560.10321663,-123425213.03538084
-103591117.95121019,857714441.1703447,202373029.86725768,-114878820.19926041,-167168575.03096515,-209032065.2435406,368113952.5583222,624263184.1086819,102331388.76997708,219822728.30583525,-158873719.02460092,-3262332.338514011,-3254779.458257763,-159551795.61935842,195923010.17147028,-44147424.00167696,55711502.39407006,-128270384.29967365,240186720.36322603,200999741.2638496,-226189492.862213,2545541842.949116,232918371.29485536,-736399435.561963,919265.4298675931,-168365368.5247871,135635152.55368236,99841133.85429072,126517360.63854924,255295.98443593972,-201629165.52651533,-420236970.31758296,-111945494.59121606,191454290.52419344,355194008.9678764,793950983.7076705,50872406.95232888,80665585.04313578,128024025.8061605,-127805875.23211853
-295313404.35284716,2445407798.967256,577102381.1267802,-327544759.95135474,-476617751.6194031,-595890298.0835811,1049470667.636581,1779851909.3434916,291746933.2317851,626691832.452578,-452956910.46141666,-9293092.78767051,-9271550.828054449,-454900757.2455338,558591222.5054147,-125866094.46493168,158868397.06408885,-365629321.03079444,684795520.1251976,572928125.9740181,-644877360.4770098,7257491292.253158,664083582.463961,-2099558585.6008213,2588335.9697126285,-479999366.599771,386636494.3851168,284647946.11519086,360746406.9990663,690045.8527002756,-574860288.7687165,-1198119631.4902337,-319148007.4048861,545962942.7468821,1012658715.5041254,2263617888.169676,144978450.59652627,229983850.73980787,365031841.633486,-364384331.0419499
